timestamp;c;h;l;o
2020-06-12T00:00:00Z;232.473717106;232.651481873;230.06148451;231.625462209
2020-06-12T01:00:00Z;233.50887302;233.549822272;232.049105457;232.246191567
2020-06-12T02:00:00Z;233.892389962;233.913125173;233.522384353;233.522384353
2020-06-12T03:00:00Z;234.555857604;235.642485274;233.960788487;233.960788487
2020-06-12T04:00:00Z;233.948326586;234.761037631;233.948326586;234.492739401
2020-06-12T05:00:00Z;234.508192234;234.508192234;233.527846543;233.556217158
2020-06-12T06:00:00Z;234.428526025;235.388936049;234.428526025;234.966607756
2020-06-12T07:00:00Z;236.420763707;236.72097839;234.510826762;234.651799562
2020-06-12T08:00:00Z;237.407516596;237.505246817;236.163539824;236.163539824
2020-06-12T09:00:00Z;236.552639745;237.824268243;236.552639745;237.824268243
2020-06-12T10:00:00Z;236.875454773;237.526236543;236.875454773;237.262962731
2020-06-12T11:00:00Z;237.854964619;237.854964619;236.845424477;236.845424477
2020-06-12T12:00:00Z;237.082269917;238.136429766;237.024771848;238.136429766
2020-06-12T13:00:00Z;238.369807845;238.37330972;237.150633672;237.162557402
2020-06-12T14:00:00Z;237.268216627;239.287193468;237.268216627;239.287193468
2020-06-12T15:00:00Z;236.483604977;236.987818536;236.254352392;236.987818536
2020-06-12T16:00:00Z;236.378383835;237.281694274;236.316161875;236.538301535
2020-06-12T17:00:00Z;234.921457406;236.502297372;234.737926447;236.464201311
2020-06-12T18:00:00Z;236.304643779;236.802442697;235.101218251;235.101218251
2020-06-12T19:00:00Z;236.570306368;237.091133166;236.46942232;236.620886941
2020-06-12T20:00:00Z;237.546249465;237.6054958;236.416174292;236.587976149
2020-06-12T21:00:00Z;237.047735355;237.79412486;237.047735355;237.562080068
2020-06-12T22:00:00Z;237.297553858;237.614328403;236.96598523;237.066160518
2020-06-12T23:00:00Z;237.433633482;237.557563307;236.928527111;237.557563307
2020-06-13T00:00:00Z;236.660578523;238.206277867;236.660578523;237.522477819
2020-06-13T01:00:00Z;237.126705162;237.277844028;236.368421042;236.803934233
2020-06-13T02:00:00Z;237.186116916;237.224549675;236.655612551;237.117650056
2020-06-13T03:00:00Z;237.187359221;237.485041085;237.020364951;237.315786201
2020-06-13T04:00:00Z;236.685501406;236.890520107;235.979842566;236.890520107
2020-06-13T05:00:00Z;236.412396176;236.633376101;236.14770386;236.617753217
2020-06-13T06:00:00Z;237.270988507;237.270988507;236.331292421;236.585676914
2020-06-13T07:00:00Z;237.57609167;237.57609167;237.009507849;237.290612924
2020-06-13T08:00:00Z;237.259090547;237.608568789;237.110528677;237.450204061
2020-06-13T09:00:00Z;237.585570482;237.842611529;237.376398803;237.562057914
2020-06-13T10:00:00Z;237.491694024;237.873601159;237.267957778;237.494196623
2020-06-13T11:00:00Z;236.905404891;237.442743953;236.694651978;237.442743953
2020-06-13T12:00:00Z;237.616597285;237.780230027;236.572475335;236.896299138
2020-06-13T13:00:00Z;237.309927036;237.572794427;236.91730954;237.572794427
2020-06-13T14:00:00Z;237.795269441;238.462855554;237.300744758;237.300744758
2020-06-13T15:00:00Z;237.886535177;238.583353403;237.860841271;238.097974904
2020-06-13T16:00:00Z;238.109093031;238.199540742;237.816500233;237.816500233
2020-06-13T17:00:00Z;237.853983296;237.90721683;237.606561364;237.90721683
2020-06-13T18:00:00Z;238.057318405;238.373002772;237.905500388;237.905500388
